COUNT,mid_x,mid_y,mid_z,Ag_ppm_BESTEL,NBKRT,AG_SUBZONAS,HOLEID
33160,3508.2732,4763.9883,4175.1376,58,32,41,A1256
33256,3848.0305,4822.7934,4021.7947,6.066667,31,42,A1257
33257,3849.239,4821.5318,4019.3559,8.45,31,42,A1257
33258,3850.4467,4820.2678,4016.9179,7.45,31,42,A1257
33259,3851.6536,4819.0016,4014.4806,7.466667,31,42,A1257
33260,3852.8597,4817.7332,4012.0442,6.42,31,42,A1257
33261,3854.065,4816.4625,4009.6085,5.4,31,42,A1257
33262,3855.2695,4815.1896,4007.1736,24.216667,31,42,A1257
33263,3856.4732,4813.9144,4004.7394,2.066667,31,42,A1257
33264,3857.6761,4812.6369,4002.3061,8.15,31,42,A1257
33974,4036.2904,4999.0709,4147.1971,6.133333,31,42,A1267
33975,4037.764,4997.545,4145.0758,7.526667,31,42,A1267
33976,4038.906,4996.3624,4143.4318,9,31,42,A1267
