,COUNT,mid_x,mid_y,mid_z,Ag_ppm_BESTEL,NBKRT,AG_SUBZONAS,HOLEID,CAPVAL1_PY,CAPPED1_PY,CAPVAL2_PY,CAPPED2_PY,CAPVAL3_PY,CAPPED3_PY,CAPVAL4_PY,CAPPED4_PY,CAPVAL5_PY,CAPPED5_PY,CAPVAL6_PY,CAPPED6_PY,AvgSin_PY,PROP_12_PY,Num_Data_PY,EXPAN_PY,EVALUADO_PY
82,6595,3199.3806,4314.7585,4098.5726,19.933332,32,41,A055,19.933332,0,19.933332,0,19.933332,0,19.933332,0,19.933332,0,19.933332,0,0.0,0.0,0,0,0
83,6596,3200.9371,4313.0812,4096.6325,12.213333,32,41,A055,12.213333,0,12.213333,0,12.213333,0,12.213333,0,12.213333,0,12.213333,0,0.0,0.0,0,0,0
84,6597,3202.4932,4311.4043,4094.6918,1.823333,32,41,A055,1.823333,0,1.823333,0,1.823333,0,1.823333,0,1.823333,0,1.823333,0,0.0,0.0,0,0,0
85,6598,3204.049,4309.7277,4092.7505,7.5,32,41,A055,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,0.0,0.0,0,0,0
86,6599,3205.6045,4308.0515,4090.8086,9.6,32,41,A055,9.6,0,9.6,0,9.6,0,9.6,0,9.6,0,9.6,0,0.0,0.0,0,0,0
87,6600,3207.1596,4306.3756,4088.8661,10.58,32,41,A055,10.58,0,10.58,0,10.58,0,10.58,0,10.58,0,10.58,0,0.0,0.0,0,0,0
88,6601,3208.7143,4304.7002,4086.923,19.030001,32,41,A055,19.030001,0,19.030001,0,19.030001,0,19.030001,0,19.030001,0,19.030001,0,0.0,0.0,0,0,0
89,6602,3210.2687,4303.0251,4084.9794,20.9,32,41,A055,20.9,0,20.9,0,20.9,0,20.9,0,20.9,0,20.9,0,0.0,0.0,0,0,0
90,6603,3211.8228,4301.3504,4083.0351,14.953333,32,41,A055,14.953333,0,14.953333,0,14.953333,0,14.953333,0,14.953333,0,14.953333,0,0.0,0.0,0,0,0
91,6604,3213.3765,4299.676,4081.0902,9.3,32,41,A055,9.3,0,9.3,0,9.3,0,9.3,0,9.3,0,9.3,0,0.0,0.0,0,0,0
92,6605,3214.9299,4298.0021,4079.1447,11.65,32,41,A055,11.65,0,11.65,0,11.65,0,11.65,0,11.65,0,11.65,0,0.0,0.0,0,0,0
93,6606,3216.4829,4296.3285,4077.1986,88.404999,32,41,A055,88.404999,0,88.404999,0,88.404999,0,88.404999,0,88.404999,0,88.404999,0,0.0,0.0,0,0,0
94,6607,3218.0356,4294.6553,4075.252,48.400002,32,41,A055,48.400002,0,48.400002,0,48.400002,0,48.400002,0,48.400002,0,48.400002,0,0.0,0.0,0,0,0
95,6608,3219.5879,4292.9824,4073.3047,49.07,32,41,A055,49.07,0,49.07,0,49.07,0,49.07,0,49.07,0,49.07,0,0.0,0.0,0,0,0
96,6609,3221.1399,4291.3099,4071.3568,10.526667,32,41,A055,10.526667,0,10.526667,0,10.526667,0,10.526667,0,10.526667,0,10.526667,0,0.0,0.0,0,0,0
97,6610,3222.6897,4289.6398,4069.4053,27.780001,32,41,A055,27.780001,0,27.780001,0,27.780001,0,27.780001,0,27.780001,0,27.780001,0,0.0,0.0,0,0,0
98,6611,3224.2322,4287.9775,4067.4412,45.02,32,41,A055,45.02,0,45.02,0,45.02,0,45.02,0,45.02,0,45.02,0,0.0,0.0,0,0,0
99,6612,3225.767,4286.3236,4065.4642,31.023335,32,41,A055,31.023335,0,31.023335,0,31.023335,0,31.023335,0,31.023335,0,31.023335,0,0.0,0.0,0,0,0
100,6613,3227.294,4284.678,4063.4741,16.790001,32,41,A055,16.790001,0,16.790001,0,16.790001,0,16.790001,0,16.790001,0,16.790001,0,0.0,0.0,0,0,0
101,6614,3228.8132,4283.0409,4061.4712,11.5,32,41,A055,11.5,0,11.5,0,11.5,0,11.5,0,11.5,0,11.5,0,0.0,0.0,0,0,0
102,6615,3230.3246,4281.4122,4059.4554,0.916667,32,41,A055,0.916667,0,0.916667,0,0.916667,0,0.916667,0,0.916667,0,0.916667,0,0.0,0.0,0,0,0
103,6616,3231.828,4279.7921,4057.4268,0.795,32,41,A055,0.795,0,0.795,0,0.795,0,0.795,0,0.795,0,0.795,0,0.0,0.0,0,0,0
