mid_x,mid_y,mid_z,Ag_ppm_BESTEL,NBKRT,AG_SUBZONAS,HOLEID,x_rot,y_rot,z_rot,CAP1_P,CPD1_P,CAP2_P,CPD2_P,CAP3_P,CPD3_P,CAP4_P,CPD4_P,CAP5_P,CPD5_P,CAP6_P,CPD6_P,AVG_SN_P,AVG_CN_P,PROP_SN_P,PROP_CN_P,EVAL_P,NCOMP_P,NXPAN_P
3182.0,4333.0,4120.0,0.0,32,41,A055,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
3184.0,4332.0,4118.0,1.0,32,41,A055,0.0,0.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0
3185.0,4330.0,4116.0,1.0,31,41,A055,-1269.6939018535477,5223.12190127666,4116,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0
3187.0,4328.0,4114.0,2.0,31,41,A055,-1266.8762377479366,5223.368414943525,4114,2.0,0,2.0,0,2.0,0,2.0,0,2.0,0,2.0,0,0,0,0,0,0,0,0
3189.0,4326.0,4112.0,10.0,31,41,A055,-1264.0585736423254,5223.61492861039,4112,10.0,0,10.0,0,10.0,0,10.0,0,10.0,0,10.0,0,0,0,0,0,0,0,0
3190.0,4324.0,4110.0,7.0,31,41,A055,-1261.8836971464011,5223.095397834136,4110,7.0,0,7.0,0,7.0,0,7.0,0,7.0,0,7.0,0,0,0,0,0,0,0,0
3192.0,4323.0,4108.0,36.0,31,41,A055,-1259.832077483909,5223.984699110688,4108,36.0,0,36.0,0,36.0,0,36.0,0,36.0,0,36.0,0,0,0,0,0,0,0,0
3193.0,4321.0,4106.0,11.0,32,41,A055,0.0,0.0,0,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,0,0,0,0,0,0,0
3195.0,4320.0,4104.0,28.0,32,41,A055,0.0,0.0,0,28.0,0,28.0,0,28.0,0,28.0,0,28.0,0,28.0,0,0,0,0,0,0,0,0
3196.0,4318.0,4102.0,23.0,32,41,A055,0.0,0.0,0,23.0,0,23.0,0,23.0,0,23.0,0,23.0,0,23.0,0,0,0,0,0,0,0,0
3198.0,4316.0,4101.0,7.0,32,41,A055,0.0,0.0,0,7.0,0,7.0,0,7.0,0,7.0,0,7.0,0,7.0,0,0,0,0,0,0,0,0
3199.0,4315.0,4099.0,20.0,32,41,A055,0.0,0.0,0,20.0,0,20.0,0,20.0,0,20.0,0,20.0,0,20.0,0,0,0,0,0,0,0,0
3201.0,4313.0,4097.0,12.0,32,41,A055,0.0,0.0,0,12.0,0,12.0,0,12.0,0,12.0,0,12.0,0,12.0,0,0,0,0,0,0,0,0
3202.0,4311.0,4095.0,2.0,32,41,A055,0.0,0.0,0,2.0,0,2.0,0,2.0,0,2.0,0,2.0,0,2.0,0,0,0,0,0,0,0,0
3204.0,4310.0,4093.0,8.0,32,41,A055,0.0,0.0,0,8.0,0,8.0,0,8.0,0,8.0,0,8.0,0,8.0,0,0,0,0,0,0,0,0
3206.0,4308.0,4091.0,10.0,32,41,A055,0.0,0.0,0,10.0,0,10.0,0,10.0,0,10.0,0,10.0,0,10.0,0,0,0,0,0,0,0,0
3207.0,4306.0,4089.0,11.0,32,41,A055,0.0,0.0,0,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,0,0,0,0,0,0,0
3209.0,4305.0,4087.0,19.0,32,41,A055,0.0,0.0,0,19.0,0,19.0,0,19.0,0,19.0,0,19.0,0,19.0,0,0,0,0,0,0,0,0
3210.0,4303.0,4085.0,21.0,32,41,A055,0.0,0.0,0,21.0,0,21.0,0,21.0,0,21.0,0,21.0,0,21.0,0,0,0,0,0,0,0,0
3212.0,4301.0,4083.0,15.0,32,41,A055,0.0,0.0,0,15.0,0,15.0,0,15.0,0,15.0,0,15.0,0,15.0,0,0,0,0,0,0,0,0
3213.0,4300.0,4081.0,9.0,32,41,A055,0.0,0.0,0,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,0,0,0,0,0,0,0
3215.0,4298.0,4079.0,12.0,32,41,A055,0.0,0.0,0,12.0,0,12.0,0,12.0,0,12.0,0,12.0,0,12.0,0,0,0,0,0,0,0,0
3216.0,4296.0,4077.0,88.0,32,41,A055,0.0,0.0,0,88.0,0,88.0,0,88.0,0,88.0,0,88.0,0,88.0,0,0,0,0,0,0,0,0
3218.0,4295.0,4075.0,48.0,32,41,A055,0.0,0.0,0,48.0,0,48.0,0,48.0,0,48.0,0,48.0,0,48.0,0,0,0,0,0,0,0,0
3220.0,4293.0,4073.0,49.0,32,41,A055,0.0,0.0,0,49.0,0,49.0,0,49.0,0,49.0,0,49.0,0,49.0,0,0,0,0,0,0,0,0
3221.0,4291.0,4071.0,11.0,32,41,A055,0.0,0.0,0,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,11.0,0,0,0,0,0,0,0,0
3223.0,4290.0,4069.0,28.0,32,41,A055,0.0,0.0,0,28.0,0,28.0,0,28.0,0,28.0,0,28.0,0,28.0,0,0,0,0,0,0,0,0
3224.0,4288.0,4067.0,45.0,32,41,A055,0.0,0.0,0,45.0,0,45.0,0,45.0,0,45.0,0,45.0,0,45.0,0,0,0,0,0,0,0,0
3226.0,4286.0,4065.0,31.0,32,41,A055,0.0,0.0,0,31.0,0,31.0,0,31.0,0,31.0,0,31.0,0,31.0,0,0,0,0,0,0,0,0
3227.0,4285.0,4063.0,17.0,32,41,A055,0.0,0.0,0,17.0,0,17.0,0,17.0,0,17.0,0,17.0,0,17.0,0,0,0,0,0,0,0,0
